town,jan22,feb22,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,mar23,apr23,may23,jun23,jul23
Dadaab,108.36,108.36,113.36,123.26,128.76,137.76,137.76,137.76,162.76,160.76,159.76,159.76,159.76,159.76,169.43,159.76,165.06,164.45,176.63
Likoni Mainland,109.07,109.07,114.07,123.97,129.47,138.47,138.47,138.47,163.47,161.47,160.47,160.47,160.47,160.47,170.14,160.47,163.81,165.16,177.4
Busia,108.71,108.71,113.71,123.61,129.11,138.11,138.11,138.11,163.11,161.11,160.11,160.11,160.11,160.11,172.43,160.11,163.48,164.81,177.02
Chuka,108.71,108.71,113.71,123.61,129.11,138.11,138.11,138.11,163.11,161.11,160.11,160.11,160.11,160.11,170.5,160.11,164.34,164.81,177.02
Nyeri,109.27,109.27,114.27,124.17,129.67,138.67,138.67,138.67,163.67,161.67,160.67,160.67,160.67,160.67,169.79,160.67,162.67,165.37,177.62
Kapenguria ,109.43,109.43,114.43,124.33,129.83,138.83,138.83,138.83,163.83,161.83,160.83,160.83,160.83,160.83,170.35,160.83,162.72,165.52,177.78
Habaswein,109.84,109.84,114.84,124.74,130.24,139.24,139.24,139.24,164.24,162.24,161.24,161.24,161.24,161.24,170.91,161.24,163.1,165.92,178.21
Moi's Bridge,111.24,111.24,116.24,126.14,131.64,140.64,140.64,140.64,165.64,163.64,162.64,162.64,162.64,162.64,172.31,162.64,163.93,167.34,179.73
Liboi,111.65,111.65,116.66,126.56,132.06,141.06,141.06,141.06,166.06,164.06,163.06,163.06,163.06,163.06,172.74,163.06,163.63,167.75,180.17
Malindi,111.94,111.94,116.94,126.84,132.34,141.34,141.34,141.34,166.34,164.34,163.34,163.34,163.34,163.34,173.02,163.34,167.55,168.04,180.48
Nyamira,110.6,110.6,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,162.72,167.49,179.89
Archers Post,110.6,110.6,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,163.55,167.49,179.89
Nyahururu,110.84,110.84,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,162.72,167.49,179.89
Burnt Forest,111.01,111.32,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,162.72,167.49,179.89
O'lessos,110.88,111.01,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,172.72,167.49,179.89
Kitale,111.12,110.88,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,163.1,167.49,179.89
Songor,111.34,111.12,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,163.61,167.49,179.89
Kitui,111.7,111.34,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,166.17,167.49,179.89
Endebes,111.63,111.7,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,162.72,167.49,179.89
Kaptarakwa,111.99,111.63,115.6,125.5,131,140,140,140,165,163,162,162,162,162,172.24,162,161.79,167.28,179.67
Etago,111.97,111.99,115.61,125.51,131.01,140.01,140.01,140.01,165.01,163.01,162.01,162.01,162.01,162.01,172.24,162.01,168.86,167.28,179.67
Nkubu,112.15,111.97,115.84,125.74,131.24,140.24,140.24,140.24,165.24,163.24,162.24,162.24,162.24,162.24,172.47,162.24,162.72,167.51,179.92
Mbale,111.93,112.15,116.02,125.92,131.42,140.42,140.42,140.42,165.42,163.42,162.42,162.42,162.42,162.42,173.77,162.42,163.34,167.69,180.11
Sambalat,112.23,111.93,115.89,125.79,131.29,140.29,140.29,140.29,165.29,163.29,162.29,162.29,162.29,162.29,172.65,162.29,164.96,167.56,179.97
Nairobi,112.13,112.23,116.12,126.02,131.52,140.52,140.52,140.52,165.52,163.52,162.52,162.52,162.52,162.52,172.76,162.52,162.72,167.8,180.23
Keroka,112.51,112.13,116.35,126.25,131.75,140.75,140.75,140.75,165.75,163.75,162.75,162.75,162.75,162.75,173.34,162.75,162.72,168.02,180.46
Kapedo,112.54,112.51,116.7,126.6,132.1,141.1,141.1,141.1,166.1,164.1,163.1,163.1,163.1,163.1,173.25,163.1,163.55,168.38,180.86
Turbo,113.5,112.54,116.63,126.53,132.03,141.03,141.03,141.03,166.03,164.03,163.03,163.03,163.03,163.03,173.57,163.03,164.12,168.3,180.76
Olenguruone,113.03,113.5,117,126.9,132.4,141.4,141.4,141.4,166.4,164.4,163.4,163.4,163.4,163.4,172.52,163.4,163.1,168.66,181.16
Kakamega,113.69,113.03,116.97,126.87,132.37,141.37,141.37,141.37,166.37,164.37,163.37,163.37,163.37,163.37,172.97,163.37,162.77,168.65,181.15
Tot,113.55,113.69,117.15,127.05,132.55,141.55,141.55,141.55,166.55,164.55,163.55,163.55,163.55,163.55,173.62,162.72,164.79,168.82,181.32
Tenges,114.15,113.55,116.94,126.84,132.34,141.34,141.34,141.34,166.34,164.34,163.34,163.34,163.34,163.34,173.61,163.55,162.42,168.61,181.1
Lokitaung,114.77,114.15,117.23,127.13,132.63,141.63,141.63,141.63,166.63,164.63,163.63,163.63,163.63,163.63,173.76,162.72,168.49,168.91,181.42
Barwessa,118.45,114.77,117.14,127.04,132.54,141.54,141.54,141.54,166.54,164.54,163.54,163.54,163.54,163.54,174.15,163.34,162.72,168.8,181.31
Kaiboi,117.54,118.45,117.53,127.43,132.93,141.93,141.93,141.93,166.93,164.93,163.93,163.93,163.93,163.93,174.16,162.72,167.66,169.19,181.73
Londiani,120.03,117.54,117.54,127.44,132.94,141.94,141.94,141.94,166.94,164.94,163.94,163.94,163.94,163.94,172.43,163.63,162.72,169.2,181.74
Kwale,119.09,120.03,118.51,128.41,133.91,142.91,142.91,142.91,167.91,165.91,164.91,164.91,164.91,164.91,173.87,162.72,165.53,170.18,182.78
Sagana,117.46,119.09,118.04,127.94,133.44,142.44,142.44,142.44,167.44,165.44,164.44,164.44,164.44,164.44,175.13,163.54,162.72,169.71,182.28
Sotik,116.15,117.46,118.7,128.6,134.1,143.1,143.1,143.1,168.1,166.1,165.1,165.1,165.1,165.1,175.33,162.72,163.14,170.37,182.99
Lodosoit,119.71,116.15,118.56,128.46,133.96,142.96,142.96,142.96,167.96,165.96,164.96,164.96,164.96,164.96,175.19,163.93,162.74,170.23,182.84
Kobujoi,121.32,119.71,119.16,129.06,134.56,143.56,143.56,143.56,168.56,166.56,165.56,165.56,165.56,165.56,175.78,162.72,163.22,170.82,183.48
Kapsowar,119.87,121.32,119.77,129.67,135.17,144.17,144.17,144.17,169.17,167.17,166.17,166.17,166.17,166.17,176.4,163.94,163.03,171.44,184.14
Thika,117.6,119.87,123.45,133.35,138.85,147.85,147.85,147.85,172.85,170.85,169.85,169.85,169.85,169.85,180.09,162.72,162.72,175.13,188.11
Naiberi,123.64,117.6,122.54,132.44,137.94,146.94,146.94,146.94,171.94,169.94,168.94,168.94,168.94,168.94,179.17,164.91,170.77,174.21,187.12
Bungoma,110.43,123.64,125.04,134.94,140.44,149.44,149.44,149.44,174.44,172.44,171.44,171.44,171.44,171.44,181.67,162.72,163.34,176.71,189.8
Iten,110.39,110.43,124.09,133.99,139.49,148.49,148.49,148.49,173.49,171.49,170.49,170.49,170.49,170.49,180.72,164.44,160.47,175.76,188.78
Magenche,110.38,110.39,122.46,132.36,137.86,146.86,146.86,146.86,171.86,169.86,168.86,168.86,168.86,168.86,179.09,162.72,163.27,174.14,187.04
Migori,110.46,110.38,121.15,131.05,136.55,145.55,145.55,145.55,170.55,168.55,167.55,167.55,167.55,167.55,177.79,165.1,163.03,172.83,185.63
Kilifi,111.16,110.46,124.72,134.62,140.12,149.12,149.12,149.12,174.12,172.12,171.12,171.12,171.12,171.12,181.34,162.72,162.72,176.39,189.45
Eldoret,110.69,111.16,126.32,136.22,141.72,150.72,150.72,150.72,175.72,173.72,172.72,172.72,172.72,172.72,182.94,164.96,164.71,177.98,191.17
Muhoroni,110.68,110.69,124.87,134.77,140.27,149.27,149.27,149.27,174.27,172.27,171.27,171.27,171.27,171.27,181.49,162.72,163.08,176.54,189.61
Kainuk,113.66,110.68,122.6,132.5,138,147,147,147,172,170,169,169,169,169,185.27,165.56,163.54,174.28,187.19
Lomut,114.76,113.66,128.65,138.55,144.05,153.05,153.05,153.05,178.05,176.05,175.05,175.05,175.05,175.05,179.24,162.72,164.72,180.32,193.67
Sigor,110.75,114.76,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,166.17,163.19,167.49,179.89
Mbita,111.15,110.75,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,162.72,167.49,179.89
Kalokol,111.64,111.15,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,169.85,160.11,167.49,179.89
Kapsabet,112.73,111.64,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,163.82,167.49,179.89
Eldama Ravine,111.32,112.73,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,168.94,162.72,167.49,179.89
Nakuru,111.32,111.32,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,163.06,167.49,179.89
Machakos,111.32,111.32,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,171.44,162.72,167.49,179.89
Kapcherop,111.32,111.32,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,168.94,167.49,179.89
Kilgoris,111.32,111.32,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,170.49,160.11,167.49,179.89
Timboroa,111.34,111.32,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,166.16,167.49,179.89
Moyale,111.75,111.34,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,168.86,162.72,167.49,179.89
Tindiret,111.68,111.75,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,166.02,167.49,179.89
Naivasha,112.32,111.68,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,167.55,165.9,167.49,179.89
Mombasa,112.08,112.32,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,169.68,167.49,179.89
Embu,111.34,112.08,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,171.12,167.59,167.49,179.89
Nandi Hills,111.3,111.34,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,170.55,167.49,179.89
Nakalale,111.27,111.3,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,172.72,166.27,167.49,179.89
Cheptulu,111.36,111.27,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,165.53,167.49,179.89
Wajir,111.82,111.36,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,171.27,162.09,167.49,179.89
Kakuma,111.7,111.82,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,164.58,167.49,179.89
Chepareria,111.63,111.7,116.32,126.22,131.72,140.72,139.83,139.83,164.83,162.83,161.83,161.83,161.83,161.83,171.72,169,162.72,166.78,179.14
Arror,111.55,111.63,115.43,125.33,130.83,139.83,139.79,139.79,164.79,162.79,161.79,161.79,161.79,161.79,171.97,162.72,160.83,166.74,179.09
Molo,111.51,111.55,115.39,125.29,130.79,139.79,139.78,139.78,164.78,162.78,161.78,161.78,161.78,161.78,174.96,175.05,162.24,166.73,179.08
Bomet,111.37,111.51,115.38,125.28,130.78,139.78,139.86,139.86,164.86,162.86,161.86,161.86,161.86,161.86,172.43,162.72,162.72,166.82,179.17
Taveta,111.87,111.37,115.46,125.36,130.86,139.86,140.56,140.56,165.56,163.56,162.56,162.56,162.56,162.56,172.04,162.72,162.72,167.52,179.93
Ortum,112.21,111.87,116.16,126.06,131.56,140.56,140.09,140.09,165.09,163.09,162.09,162.09,162.09,162.09,171.69,162.72,162.29,167.04,179.42
Chebara,111.89,112.21,115.69,125.59,131.09,140.09,140.08,140.08,165.08,163.08,162.08,162.08,162.08,162.08,171.76,162.72,163.88,167.03,179.41
Lokiriama,112.53,111.89,115.68,125.58,131.08,140.08,143.06,143.06,168.06,166.06,165.06,165.06,165.06,165.06,172.47,162.72,160.67,170.01,182.61
Loima,114.13,112.53,118.66,128.56,134.06,143.06,144.16,144.16,169.16,167.16,166.16,166.16,166.16,166.16,171.68,162.72,175.05,171.12,183.79
Gilgil,112.94,114.13,119.76,129.66,135.16,144.16,140.15,140.15,165.15,163.15,162.15,162.15,162.15,162.15,172.43,162.72,164.13,167.11,179.49
Meru,113.07,112.94,115.75,125.65,131.15,140.15,140.55,140.55,165.55,163.55,162.55,162.55,162.55,162.55,171.98,162.72,162.72,167.51,179.92
Matunda,111.32,113.07,116.15,126.05,131.55,140.55,141.04,141.04,166.04,164.04,163.04,163.04,163.04,163.04,172.45,162.72,162.55,168,180.45
Kabiyet,117.09,111.32,116.64,126.54,132.04,141.04,142.13,142.13,167.13,165.13,164.13,164.13,164.13,164.13,174.03,162.72,162.72,169.08,181.61
Kesses,114.5,117.09,117.73,127.63,133.13,142.13,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,169.85,167.49,179.89
Voi,116.26,114.5,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,162.7,167.49,179.89
Kwanza,114.87,116.26,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,162.72,167.49,179.89
Maua,119.15,114.87,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,165.56,167.49,179.89
Narok,114.13,119.15,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,162.72,167.49,179.89
Lamu,112.48,114.13,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,162.72,167.49,179.89
Nanyuki,118.28,112.48,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,165.1,167.49,179.89
Garissa,111.51,118.28,116.34,126.24,131.74,140.74,140.74,140.74,165.74,163.74,162.74,162.74,162.74,162.74,172.44,162.72,162.72,167.5,179.91
Modogashe,111.32,111.51,116.75,126.65,132.15,141.15,141.15,141.15,166.15,164.15,163.15,163.15,163.15,163.15,172.79,162.72,169,167.92,180.36
Serem,111.38,111.32,116.68,126.58,132.08,141.08,141.08,141.08,166.08,164.08,163.08,163.08,163.08,163.08,172.43,162.72,161.78,167.85,180.29
Isebania,111.27,111.38,117.32,127.22,132.72,141.72,141.72,141.72,166.72,164.72,163.72,163.72,163.72,163.72,173.19,162.72,162.72,168.48,180.96
Hola,119.37,111.27,117.08,126.98,132.48,141.48,141.48,141.48,166.48,164.48,163.48,163.48,163.48,163.48,172.44,162.72,162.74,168.25,180.72
Kiplombe,118.2,119.37,116.34,126.24,131.74,140.74,140.74,140.74,165.74,163.74,162.74,162.74,162.74,162.74,172.42,162.72,161.86,167.5,179.91
Moiben,114.62,118.2,116.3,126.2,131.7,140.7,140.7,140.7,165.7,163.7,162.7,162.7,162.7,162.7,172.38,162.72,159.76,167.48,179.88
Kerugoya,116.19,114.62,116.27,126.17,131.67,140.67,140.67,140.67,165.67,163.67,162.67,162.67,162.67,162.67,172.47,161.83,171.44,167.43,179.84
Kibish,113.39,116.19,116.36,126.26,131.76,140.76,140.76,140.76,165.76,163.76,162.76,162.76,162.76,162.76,172.93,161.79,162.72,167.53,179.94
Kimwarer,112.72,113.39,116.82,126.72,132.22,141.22,141.22,141.22,166.22,164.22,163.22,163.22,163.22,163.22,172.82,161.78,164.44,167.99,180.44
Bondo,113.32,112.72,116.7,126.6,132.1,141.1,141.1,141.1,166.1,164.1,163.1,163.1,163.1,163.1,172.74,161.86,162.52,167.88,180.31
Tambach,112.91,113.32,116.63,126.53,132.03,141.03,141.03,141.03,166.03,164.03,163.03,163.03,163.03,163.03,172.66,162.56,162.72,167.8,180.23
Maralal,111.7,112.91,116.55,126.45,131.95,140.95,140.95,140.95,165.95,163.95,162.95,162.95,162.95,162.95,172.63,162.09,162.72,167.72,180.15
Kiwawa,112.42,111.7,116.51,126.41,131.91,140.91,140.91,140.91,165.91,163.91,162.91,162.91,162.91,162.91,172.49,162.08,163.93,167.68,180.1
Siaya,111.74,112.42,116.37,126.27,131.77,140.77,140.77,140.77,165.77,163.77,162.77,162.77,162.77,162.77,172.97,165.06,162.72,167.54,179.95
Mogotio,112.15,111.74,116.87,126.77,132.27,141.27,141.27,141.27,166.27,164.27,163.27,163.27,163.27,163.27,173.32,166.16,162,168.04,180.48
Isiolo,112.29,112.15,117.21,127.11,132.61,141.61,141.61,141.61,166.61,164.61,163.61,163.61,163.61,163.61,172.99,162.15,162.15,168.38,180.86
Lokichar,112.41,112.29,116.89,126.79,132.29,141.29,141.29,141.29,166.29,164.29,163.29,163.29,163.29,163.29,173.63,162.55,169.6,168.06,180.51
Homabay,113.31,112.41,117.53,127.43,132.93,141.93,141.93,141.93,166.93,164.93,163.93,163.93,163.93,163.93,175.25,162.72,161.83,168.7,181.19
Tarbaj,113.18,113.31,119.13,129.03,134.53,143.53,143.53,143.53,168.53,166.53,165.53,165.53,165.53,165.53,174.04,164.13,163.55,170.31,182.92
Kaplamai,112.15,113.18,117.94,127.84,133.34,142.34,142.34,142.34,167.34,165.34,164.34,164.34,164.34,164.34,174.17,162.72,162.91,169.11,181.63
Namanga,112.21,112.15,118.07,127.97,133.47,142.47,142.47,142.47,167.47,165.47,164.47,164.47,164.47,164.47,172.43,162.72,163.94,169.24,181.77
Marigat,111.38,112.21,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,178.2,162.72,163.4,167.49,179.89
Kipsaraman,111.79,111.38,122.09,131.99,137.49,146.49,146.49,146.49,171.49,169.49,168.49,168.49,168.49,168.49,175.61,162.72,164.91,173.25,186.09
Burgich,111.87,111.79,119.5,129.4,134.9,143.9,143.9,143.9,168.9,166.9,165.9,165.9,165.9,165.9,177.37,162.72,162.72,170.67,183.31
Kachibora,111.32,111.87,121.26,131.16,136.66,145.66,145.66,145.66,170.66,168.66,167.66,167.66,167.66,167.66,175.98,162.72,162.08,172.43,185.21
Sondu,111.75,111.32,119.87,129.77,135.27,144.27,144.27,144.27,169.27,167.27,166.27,166.27,166.27,166.27,180.25,162.72,163.37,171.03,183.7
Webuye,112.29,111.75,124.15,134.05,139.55,148.55,148.55,148.55,173.55,171.55,170.55,170.55,170.55,170.55,175.25,162.74,162.72,175.32,188.3
Kiminini,111.93,112.29,119.13,129.03,134.53,143.53,143.53,143.53,168.53,166.53,165.53,165.53,165.53,165.53,172.85,163.15,162.72,170.31,182.92
Kajiado,112.61,111.93,117.48,127.38,132.88,141.88,141.88,141.88,166.88,164.88,163.88,163.88,163.88,163.88,173.6,163.08,162.56,168.65,181.15
Lungalunga,112.27,112.61,123.28,133.18,138.68,147.68,147.68,147.68,172.68,170.68,169.68,169.68,169.68,169.68,179.39,162.72,164.31,174.44,187.36
Kiganjo,112.47,112.27,116.51,126.41,131.91,140.91,140.91,140.91,165.91,163.91,162.91,162.91,162.91,162.91,172.63,163.48,162.72,167.68,180.1
Kabarnet ,111.51,112.47,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.74,163.29,167.49,179.89
Loruk,111.3,111.51,116.38,126.28,131.78,140.78,140.78,140.78,165.78,163.78,162.78,162.78,162.78,162.78,172.43,162.7,162.75,167.55,179.96
Sololo,111.4,111.3,116.27,126.17,131.67,140.67,140.67,140.67,165.67,163.67,162.67,162.67,162.67,162.67,172.38,162.67,162.72,167.43,179.84
Elwak,111.89,111.4,124.37,134.27,139.77,148.77,148.77,148.77,173.77,171.77,170.77,170.77,170.77,170.77,180.49,162.76,163.27,175.54,188.55
Makuyu,111.35,111.89,123.2,133.1,138.6,147.6,147.6,147.6,172.6,170.6,169.6,169.6,169.6,169.6,179.31,163.22,164.47,174.37,187.28
Kacheliba,111.63,111.35,119.62,129.52,135.02,144.02,144.02,144.02,169.02,167.02,166.02,166.02,166.02,166.02,175.73,163.1,162.72,170.79,183.44
Mtito Andei,111.51,111.63,121.19,131.09,136.59,145.59,145.59,145.59,170.59,168.59,167.59,167.59,167.59,167.59,177.29,163.03,170.49,172.35,185.11
Mandera,111.64,111.51,118.39,128.29,133.79,142.79,142.79,142.79,167.79,165.79,164.79,164.79,164.79,164.79,174.5,162.72,162.72,169.56,182.12
Lokori,111.81,111.64,117.72,127.62,133.12,142.12,142.12,142.12,167.12,165.12,164.12,164.12,164.12,164.12,173.83,162.95,162.76,168.89,181.4
Malaba,111.88,111.81,118.32,128.22,133.72,142.72,142.72,142.72,167.72,165.72,164.72,164.72,164.72,164.72,174.43,162.72,171.12,169.5,182.05
Lokichogio,112.18,111.88,117.91,127.81,133.31,142.31,142.31,142.31,167.31,165.31,164.31,164.31,164.31,164.31,174.02,162.91,162.72,169.08,181.61
Soy,112.02,112.18,116.7,126.6,132.1,141.1,141.1,141.1,166.1,164.1,163.1,163.1,163.1,163.1,172.82,162.72,162.64,167.88,180.31
Oyugis,112.2,112.02,117.42,127.32,132.82,141.82,141.82,141.82,166.82,164.82,163.82,163.82,163.82,163.82,173.53,162.77,163.69,168.59,181.08
Marsabit,112.17,112.2,116.74,126.64,132.14,141.14,141.14,141.14,166.14,164.14,163.14,163.14,163.14,163.14,172.43,162.72,162.01,167.91,180.34
Kabartonjo,112.12,112.17,117.15,127.05,132.55,141.55,141.55,141.55,166.55,164.55,163.55,163.55,163.55,163.55,173.25,163.27,162.95,168.32,180.79
Ziwa,112.97,112.12,117.29,127.19,132.69,141.69,141.69,141.69,166.69,164.69,163.69,163.69,163.69,163.69,173.4,162.72,163.61,168.46,180.94
Muranga,113.26,112.97,117.41,127.31,132.81,141.81,141.81,141.81,166.81,164.81,163.81,163.81,163.81,163.81,173.51,163.61,162.72,168.58,181.06
Kisumu,112.42,113.26,118.31,128.21,133.71,142.71,142.71,142.71,167.71,165.71,164.71,164.71,164.71,164.71,174.42,162.72,162.67,169.48,182.04
Mwingi,111.53,112.42,118.18,128.08,133.58,142.58,142.58,142.58,167.58,165.58,164.58,164.58,164.58,164.58,174.29,163.29,161.24,169.35,181.9
Kisii,112.1,111.53,117.15,127.05,132.55,141.55,141.55,141.55,166.55,164.55,163.55,163.55,163.55,163.55,173.25,162.72,171.27,168.32,180.79
Kericho,111.3,112.1,117.21,127.11,132.61,141.61,141.61,141.61,166.61,164.61,163.61,163.61,163.61,163.61,173.32,163.93,162.72,168.38,180.86
Mumias,112.75,111.3,116.38,126.28,131.78,140.78,140.78,140.78,165.78,163.78,162.78,162.78,162.78,162.78,172.43,162.72,163.15,167.55,179.96
Saboti,112.86,112.75,116.79,126.69,132.19,141.19,141.19,141.19,166.19,164.19,163.19,163.19,163.19,163.19,172.9,165.53,162.72,167.95,180.39
